State,District Name,Received,Resolved,Order Type,Region,History of Slavery
GA,Echols County,2010-03-11,2012-04-25,Voluntary,Southeast,Slave State
NV,Elko County Sd,2012-10-12,2013-04-08,Voluntary,West,Territory
SD,Estelline School District #28-2,2013-06-03,2013-12-13,Voluntary,Midwest,Territory
CT,Fairfield Board Of Education,2012-06-18,2013-09-30,Voluntary,Northeast,Free State
AL,Faulkner State Community College,2013-11-21,2014-05-19,Voluntary,Southeast,Slave State
AZ,Florence Unified School District,2006-10-26,2007-03-23,Voluntary,Southwest,Territory
FL,Florida Statewide Education Sy,1995-04-28,1998-07-16,Voluntary,Southeast,Slave State
NC,Franklin County Schools,2011-05-06,2011-10-26,Voluntary,Southeast,Slave State
CA,Franklin-Mckinley Elementary,2008-03-14,2009-08-31,Voluntary,West,Free State
KS,Garden City U.S.D. #457,1996-03-04,1996-04-25,Voluntary,Midwest,Free State
NC,Gaston County Schools,2012-02-02,2012-10-16,Voluntary,Southeast,Slave State
NC,Gaston County Schools,2011-11-02,2012-10-16,Voluntary,Southeast,Slave State
MA,Gill-Montague,2012-05-11,2012-11-07,Voluntary,Northeast,Free State
AZ,Glendale Elementary District,2000-01-26,2000-09-13,Voluntary,Southwest,Territory
GA,Glynn County,2012-08-13,2013-06-11,Voluntary,Southeast,Slave State
MI,Grand Haven Area Public Schools,2012-10-22,2013-05-07,Voluntary,Midwest,Free State
MI,Grand Rapids Public Schools,2008-04-15,2014-02-10,Voluntary,Midwest,Free State
KY,Grant County School District,2012-04-10,2013-03-29,Voluntary,,Border State
KY,Grant County School District,2013-05-07,2013-11-01,Voluntary,,Border State
CO,Greeley School District 6,2009-11-30,2010-05-20,Voluntary,West,Territory
GU,Guam Department Of Education,2006-04-03,2007-12-26,Voluntary,,Territory
OK,Guymon Public Schools,2005-04-13,2008-02-20,Voluntary,Southwest,Territory
